model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std
01-ai/yi-34b,1,0.152,0.0,0.8,0.0,0.648,0.0
AlephAlpha/luminous-extended,1,0.025,0.0,0.1,0.0,0.075,0.0
ai21/jamba-instruct,1,0.05,0.0,0.72,0.0,0.67,0.0
amazon/nova-lite-v1:0,1,0.009,0.0,0.82,0.0,0.829,0.0
anthropic/claude-2.0,1,0.057,0.0,0.64,0.0,0.583,0.0
anthropic/claude-3-5-sonnet-20240620,1,0.011,0.0,0.96,0.0,0.949,0.0
anthropic/claude-3-sonnet-20240229,1,0.033,0.0,0.94,0.0,0.907,0.0
cohere/command-light,1,0.131,0.0,0.28,0.0,0.149,0.0
cohere/command-r-plus,1,0.002,0.0,0.74,0.0,0.738,0.0
google/gemini-1.5-pro-001,1,0.004,0.0,0.84,0.0,0.836,0.0
google/gemma-2-9b-it,1,0.038,0.0,0.8,0.0,0.762,0.0
google/gemma-7b,1,0.061,0.0,0.62,0.0,0.559,0.0
meta/llama-2-70b,1,0.093,0.0,0.66,0.0,0.567,0.0
meta/llama-3.1-70b-instruct-turbo,1,0.022,0.0,0.96,0.0,0.938,0.0
microsoft/phi-2,1,0.039,0.0,0.62,0.0,0.581,0.0
mistralai/mistral-medium-2312,1,0.006,0.0,0.7,0.0,0.706,0.0
mistralai/mixtral-8x22b,1,0.02,0.0,0.82,0.0,0.8,0.0
mistralai/open-mistral-nemo-2407,1,0.098,0.0,0.88,0.0,0.782,0.0
openai/gpt-3.5-turbo-0613,1,0.041,0.0,0.46,0.0,0.501,0.0
openai/gpt-4-turbo-2024-04-09,1,0.024,0.0,0.8,0.0,0.824,0.0
tiiuae/falcon-40b,1,0.093,0.0,0.36,0.0,0.267,0.0
writer/palmyra-x-004,1,0.055,0.0,0.96,0.0,0.905,0.0
