model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std
ai21/jamba-1.5-large,1,0.0122,0.0,0.173,0.0,0.1853,0.0
amazon/nova-pro-v1:0,1,0.014,0.0,0.1885,0.0,0.2026,0.0
anthropic/claude-2.0,1,0.0194,0.0,0.1729,0.0,0.1923,0.0
anthropic/claude-3-5-haiku-20241022,1,0.0016,0.0,0.1192,0.0,0.1208,0.0
anthropic/claude-3-5-sonnet-20240620,1,0.0482,0.0,0.1568,0.0,0.205,0.0
cohere/command-light,1,0.0149,0.0,0.0381,0.0,0.0233,0.0
cohere/command,1,0.0037,0.0,0.0838,0.0,0.0802,0.0
google/gemini-1.5-pro-001,1,0.0054,0.0,0.1654,0.0,0.1707,0.0
google/gemini-2.0-flash-exp,1,0.0103,0.0,0.1804,0.0,0.1908,0.0
google/gemma-7b,1,0.0121,0.0,0.1585,0.0,0.1707,0.0
google/text-bison@001,1,0.0215,0.0,0.1893,0.0,0.2108,0.0
meta/llama-3-70b,1,0.0003,0.0,0.1995,0.0,0.1991,0.0
meta/llama-3.2-11b-vision-instruct-turbo,1,0.0331,0.0,0.1252,0.0,0.1583,0.0
mistralai/mistral-small-2402,1,0.0379,0.0,0.1156,0.0,0.1535,0.0
mistralai/open-mistral-nemo-2407,1,0.0407,0.0,0.12,0.0,0.1607,0.0
openai/gpt-3.5-turbo-0613,1,0.0224,0.0,0.1475,0.0,0.1699,0.0
qwen/qwen1.5-14b,1,0.0249,0.0,0.1355,0.0,0.1604,0.0
qwen/qwen1.5-72b,1,0.0167,0.0,0.1632,0.0,0.1799,0.0
qwen/qwen2-72b-instruct,1,0.0338,0.0,0.1513,0.0,0.1851,0.0
writer/palmyra-x-004,1,0.0175,0.0,0.1628,0.0,0.1804,0.0
writer/palmyra-x-v2,1,0.044,0.0,0.1679,0.0,0.2119,0.0
writer/palmyra-x-v3,1,0.0325,0.0,0.1968,0.0,0.2292,0.0
