model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std
open-llm-leaderboard/details_SanjiWatsuki__neural-chat-7b-v3-3-wizardmath-dare-me,1,0.133,0.0,0.7,0.0,0.567,0.0
open-llm-leaderboard/details_meta-math__MetaMath-Llemma-7B,1,0.0001,0.0,0.46,0.0,0.4599,0.0
open-llm-leaderboard/details_AdaptLLM__finance-chat,1,0.11,0.0,0.6,0.0,0.49,0.0
open-llm-leaderboard/details_deepseek-ai__deepseek-moe-16b-base,1,0.0324,0.0,0.42,0.0,0.4524,0.0
open-llm-leaderboard/details_wang7776__Mistral-7B-Instruct-v0.2-sparsity-20,1,0.0375,0.0,0.5,0.0,0.4625,0.0
open-llm-leaderboard/details_BAAI__Aquila2-34B,1,0.091,0.0,0.86,0.0,0.769,0.0
open-llm-leaderboard/details_h2m__mhm-7b-v1.3,1,0.0955,0.0,0.54,0.0,0.4445,0.0
open-llm-leaderboard/details_AA051611__limb,1,0.0508,0.0,0.76,0.0,0.7092,0.0
open-llm-leaderboard/details_PSanni__MPOMixtral-8x7B-Instruct-v0.1,1,0.0433,0.0,0.74,0.0,0.6967,0.0
open-llm-leaderboard/details_Weyaxi__Bagel-Hermes-34B-Slerp,1,0.1013,0.0,0.88,0.0,0.7787,0.0
open-llm-leaderboard/details_Weyaxi__Helion-4x34B,1,0.0603,0.0,0.84,0.0,0.7797,0.0
open-llm-leaderboard/details_diffnamehard__Psyfighter2-Noromaid-ties-Capybara-13B,1,0.0139,0.0,0.58,0.0,0.5661,0.0
open-llm-leaderboard/details_FelixChao__WizardDolphin-7B,1,0.0841,0.0,0.7,0.0,0.6159,0.0
open-llm-leaderboard/details_umd-zhou-lab__recycled-wizardlm-7b-v2.0,1,0.0696,0.0,0.52,0.0,0.4504,0.0
open-llm-leaderboard/details_Sao10K__Sensualize-Mixtral-bf16,1,0.0382,0.0,0.74,0.0,0.7018,0.0
open-llm-leaderboard/details_chargoddard__mistral-11b-slimorca,1,0.0536,0.0,0.68,0.0,0.6264,0.0
open-llm-leaderboard/details_mlabonne__NeuralMarcoro14-7B,1,0.0988,0.0,0.74,0.0,0.6412,0.0
open-llm-leaderboard/details_gagan3012__MetaModel_moe,1,0.167,0.0,0.82,0.0,0.653,0.0
open-llm-leaderboard/details_Sao10K__Sensualize-Solar-10.7B,1,0.0581,0.0,0.7,0.0,0.6419,0.0
open-llm-leaderboard/details_Mihaiii__Pallas-0.5-LASER-0.6,1,0.0963,0.0,0.84,0.0,0.7437,0.0
open-llm-leaderboard/details_TomGrc__FusionNet_passthrough,1,0.1406,0.0,0.78,0.0,0.6394,0.0
open-llm-leaderboard/details_Mihaiii__Pallas-0.5-LASER-0.1,1,0.0879,0.0,0.84,0.0,0.7521,0.0
open-llm-leaderboard/details_OpenBuddy__openbuddy-mixtral-7bx8-v16.3-32k,1,0.074,0.0,0.78,0.0,0.706,0.0
open-llm-leaderboard/details_Mihaiii__Pallas-0.5-LASER-0.4,1,0.0946,0.0,0.84,0.0,0.7454,0.0
open-llm-leaderboard/details_jondurbin__bagel-dpo-34b-v0.2,1,0.1076,0.0,0.88,0.0,0.7724,0.0
open-llm-leaderboard/details_shadowml__Marcoro14-7B-ties,1,0.0361,0.0,0.68,0.0,0.6439,0.0
open-llm-leaderboard/details_kekmodel__StopCarbon-10.7B-v6,1,0.1667,0.0,0.82,0.0,0.6533,0.0
open-llm-leaderboard/details_KnutJaegersberg__Qwen-1_8B-Llamafied,1,0.1326,0.0,0.58,0.0,0.4474,0.0
