model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std
01-ai/yi-large-preview,1,0.036,0.0,0.68,0.0,0.716,0.0
AlephAlpha/luminous-extended,1,0.0207,0.0,0.28,0.0,0.2593,0.0
AlephAlpha/luminous-supreme,1,0.0834,0.0,0.22,0.0,0.3034,0.0
ai21/j2-jumbo,1,0.0727,0.0,0.4,0.0,0.4727,0.0
ai21/jamba-1.5-large,1,0.0096,0.0,0.68,0.0,0.6896,0.0
anthropic/claude-3-5-sonnet-20240620,1,0.0042,0.0,0.8,0.0,0.8042,0.0
anthropic/claude-3-haiku-20240307,1,0.0231,0.0,0.64,0.0,0.6631,0.0
deepseek-ai/deepseek-v3,1,0.0678,0.0,0.74,0.0,0.8078,0.0
google/gemini-1.5-flash-001,1,0.0419,0.0,0.66,0.0,0.7019,0.0
google/gemini-1.5-flash-002,1,0.079,0.0,0.6,0.0,0.679,0.0
google/gemini-1.5-pro-002,1,0.0246,0.0,0.82,0.0,0.7954,0.0
meta/llama-2-13b,1,0.0262,0.0,0.48,0.0,0.5062,0.0
meta/llama-3-70b,1,0.0455,0.0,0.66,0.0,0.7055,0.0
meta/llama-3.1-70b-instruct-turbo,1,0.0325,0.0,0.68,0.0,0.7125,0.0
meta/llama-65b,1,0.0385,0.0,0.54,0.0,0.5785,0.0
microsoft/phi-3-small-8k-instruct,1,0.0204,0.0,0.68,0.0,0.6596,0.0
mistralai/mistral-7b-v0.1,1,0.0602,0.0,0.52,0.0,0.5802,0.0
openai/gpt-3.5-turbo-0613,1,0.0302,0.0,0.58,0.0,0.6102,0.0
openai/gpt-4o-mini-2024-07-18,1,0.0867,0.0,0.58,0.0,0.6667,0.0
qwen/qwen1.5-110b-chat,1,0.0584,0.0,0.64,0.0,0.6984,0.0
qwen/qwen1.5-32b,1,0.0949,0.0,0.54,0.0,0.6349,0.0
qwen/qwen2-72b-instruct,1,0.0143,0.0,0.76,0.0,0.7743,0.0
