model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std,dataset
01-ai/yi-large-preview,1,0.0234,0.0,0.4511,0.0,0.4277,0.0,NaturalQA
ai21/jamba-instruct,1,0.0504,0.0,0.434,0.0,0.3836,0.0,NaturalQA
allenai/olmo-7b,1,0.067,0.0,0.1916,0.0,0.2586,0.0,NaturalQA
amazon/nova-lite-v1:0,1,0.0527,0.0,0.4052,0.0,0.3524,0.0,NaturalQA
anthropic/claude-2.1,1,0.0071,0.0,0.368,0.0,0.3751,0.0,NaturalQA
anthropic/claude-3-5-haiku-20241022,1,0.0089,0.0,0.3528,0.0,0.3439,0.0,NaturalQA
anthropic/claude-3-5-sonnet-20240620,1,0.0436,0.0,0.5452,0.0,0.5016,0.0,NaturalQA
anthropic/claude-3-5-sonnet-20241022,1,0.0457,0.0,0.5127,0.0,0.467,0.0,NaturalQA
anthropic/claude-3-opus-20240229,1,0.0717,0.0,0.5122,0.0,0.4405,0.0,NaturalQA
cohere/command-light,1,0.0284,0.0,0.1667,0.0,0.1951,0.0,NaturalQA
cohere/command-r-plus,1,0.0111,0.0,0.3542,0.0,0.3432,0.0,NaturalQA
databricks/dbrx-instruct,1,0.0444,0.0,0.3282,0.0,0.2839,0.0,NaturalQA
google/gemini-1.0-pro-002,1,0.0175,0.0,0.4081,0.0,0.3906,0.0,NaturalQA
meta/llama-3-8b,1,0.0472,0.0,0.3309,0.0,0.378,0.0,NaturalQA
meta/llama-3.1-8b-instruct-turbo,1,0.0471,0.0,0.1619,0.0,0.209,0.0,NaturalQA
mistralai/mistral-large-2402,1,0.0476,0.0,0.3587,0.0,0.3111,0.0,NaturalQA
mistralai/mistral-small-2402,1,0.0245,0.0,0.3287,0.0,0.3042,0.0,NaturalQA
mistralai/open-mistral-nemo-2407,1,0.0012,0.0,0.2635,0.0,0.2648,0.0,NaturalQA
openai/gpt-4-1106-preview,1,0.0306,0.0,0.4653,0.0,0.4347,0.0,NaturalQA
openai/text-davinci-002,1,0.0582,0.0,0.4524,0.0,0.3941,0.0,NaturalQA
upstage/solar-pro-241126,1,0.0139,0.0,0.3112,0.0,0.2973,0.0,NaturalQA
writer/palmyra-x-004,1,0.0267,0.0,0.4833,0.0,0.4566,0.0,NaturalQA
01-ai/yi-large-preview,1,0.01,0.0,0.7,0.0,0.69,0.0,GSM8K-Lite
ai21/jamba-instruct,1,0.09,0.0,0.76,0.0,0.67,0.0,GSM8K-Lite
allenai/olmo-7b,1,0.004,0.0,0.04,0.0,0.044,0.0,GSM8K-Lite
amazon/nova-lite-v1:0,1,0.029,0.0,0.8,0.0,0.829,0.0,GSM8K-Lite
anthropic/claude-2.1,1,0.004,0.0,0.6,0.0,0.604,0.0,GSM8K-Lite
anthropic/claude-3-5-haiku-20241022,1,0.045,0.0,0.86,0.0,0.815,0.0,GSM8K-Lite
anthropic/claude-3-5-sonnet-20240620,1,0.031,0.0,0.98,0.0,0.949,0.0,GSM8K-Lite
anthropic/claude-3-5-sonnet-20241022,1,0.024,0.0,0.98,0.0,0.956,0.0,GSM8K-Lite
anthropic/claude-3-opus-20240229,1,0.056,0.0,0.98,0.0,0.924,0.0,GSM8K-Lite
cohere/command-light,1,0.031,0.0,0.18,0.0,0.149,0.0,GSM8K-Lite
cohere/command-r-plus,1,0.058,0.0,0.68,0.0,0.738,0.0,GSM8K-Lite
databricks/dbrx-instruct,1,0.049,0.0,0.72,0.0,0.671,0.0,GSM8K-Lite
google/gemini-1.0-pro-002,1,0.104,0.0,0.92,0.0,0.816,0.0,GSM8K-Lite
meta/llama-3-8b,1,0.041,0.0,0.54,0.0,0.499,0.0,GSM8K-Lite
meta/llama-3.1-8b-instruct-turbo,1,0.082,0.0,0.88,0.0,0.798,0.0,GSM8K-Lite
mistralai/mistral-large-2402,1,0.066,0.0,0.76,0.0,0.694,0.0,GSM8K-Lite
mistralai/mistral-small-2402,1,0.006,0.0,0.74,0.0,0.734,0.0,GSM8K-Lite
mistralai/open-mistral-nemo-2407,1,0.038,0.0,0.82,0.0,0.782,0.0,GSM8K-Lite
openai/gpt-4-1106-preview,1,0.032,0.0,0.7,0.0,0.668,0.0,GSM8K-Lite
openai/text-davinci-002,1,0.001,0.0,0.48,0.0,0.479,0.0,GSM8K-Lite
upstage/solar-pro-241126,1,0.049,0.0,0.92,0.0,0.871,0.0,GSM8K-Lite
writer/palmyra-x-004,1,0.035,0.0,0.94,0.0,0.905,0.0,GSM8K-Lite
01-ai/yi-large-preview,1,0.014,0.0,0.76,0.0,0.746,0.0,MATH Competition
ai21/jamba-instruct,1,0.0056,0.0,0.42,0.0,0.4256,0.0,MATH Competition
allenai/olmo-7b,1,0.0166,0.0,0.02,0.0,0.0366,0.0,MATH Competition
