model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std
AlephAlpha/luminous-base,1,0.0571,0.0,0.2337,0.0,0.1766,0.0
ai21/j1-grande-v2-beta,1,0.0147,0.0,0.2601,0.0,0.2748,0.0
ai21/j1-jumbo,1,0.0239,0.0,0.271,0.0,0.2471,0.0
ai21/j2-large,1,0.0188,0.0,0.2135,0.0,0.2324,0.0
cohere/command-xlarge-beta,1,0.0717,0.0,0.3909,0.0,0.3191,0.0
cohere/small-20220720,1,0.0178,0.0,0.0797,0.0,0.0619,0.0
meta/llama-2-70b,1,0.0264,0.0,0.4416,0.0,0.4152,0.0
meta/llama-65b,1,0.0397,0.0,0.4312,0.0,0.3915,0.0
mosaicml/mpt-instruct-30b,1,0.0402,0.0,0.2878,0.0,0.2476,0.0
openai/babbage,1,0.0555,0.0,0.1524,0.0,0.0968,0.0
openai/gpt-3.5-turbo-0613,1,0.037,0.0,0.3313,0.0,0.2943,0.0
openai/text-davinci-003,1,0.0657,0.0,0.434,0.0,0.3683,0.0
together/redpajama-incite-instruct-3b-v1,1,0.002,0.0,0.1709,0.0,0.1689,0.0
together/t0pp,1,0.0136,0.0,0.0255,0.0,0.0391,0.0
together/t5-11b,1,0.005,0.0,0.1594,0.0,0.1645,0.0
together/yalm,1,0.0097,0.0,0.0501,0.0,0.0598,0.0
