model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std
AlephAlpha/luminous-base,1,0.027,0.0,0.0895,0.0,0.0625,0.0
AlephAlpha/luminous-supreme,1,0.0128,0.0,0.106,0.0,0.0932,0.0
ai21/j2-jumbo,1,0.0209,0.0,0.1241,0.0,0.1032,0.0
ai21/jamba-1.5-large,1,0.0804,0.0,0.2657,0.0,0.1853,0.0
ai21/jamba-1.5-mini,1,0.0807,0.0,0.2455,0.0,0.1648,0.0
ai21/jamba-instruct,1,0.0911,0.0,0.2391,0.0,0.148,0.0
allenai/olmo-7b,1,0.0007,0.0,0.0905,0.0,0.0912,0.0
amazon/nova-micro-v1:0,1,0.0526,0.0,0.2237,0.0,0.1712,0.0
amazon/nova-pro-v1:0,1,0.0865,0.0,0.289,0.0,0.2026,0.0
anthropic/claude-2.0,1,0.0859,0.0,0.2783,0.0,0.1923,0.0
anthropic/claude-3-5-haiku-20241022,1,0.0436,0.0,0.1644,0.0,0.1208,0.0
anthropic/claude-3-5-sonnet-20240620,1,0.0816,0.0,0.2865,0.0,0.205,0.0
anthropic/claude-3-5-sonnet-20241022,1,0.0714,0.0,0.2738,0.0,0.2023,0.0
anthropic/claude-3-opus-20240229,1,0.0881,0.0,0.3013,0.0,0.2131,0.0
anthropic/claude-3-sonnet-20240229,1,0.06,0.0,0.255,0.0,0.195,0.0
anthropic/claude-v1.3,1,0.0393,0.0,0.2338,0.0,0.1945,0.0
cohere/command-light,1,0.0125,0.0,0.0358,0.0,0.0233,0.0
cohere/command-r-plus,1,0.0812,0.0,0.2637,0.0,0.1825,0.0
cohere/command-r,1,0.0349,0.0,0.1658,0.0,0.1309,0.0
cohere/command,1,0.0122,0.0,0.0924,0.0,0.0802,0.0
databricks/dbrx-instruct,1,0.0437,0.0,0.1603,0.0,0.1166,0.0
deepseek-ai/deepseek-llm-67b-chat,1,0.0806,0.0,0.2499,0.0,0.1693,0.0
deepseek-ai/deepseek-v3,1,0.0789,0.0,0.2672,0.0,0.1883,0.0
google/gemini-1.0-pro-002,1,0.0722,0.0,0.2468,0.0,0.1746,0.0
google/gemini-1.5-flash-001,1,0.0659,0.0,0.2688,0.0,0.2029,0.0
google/gemini-1.5-flash-002,1,0.0781,0.0,0.2696,0.0,0.1915,0.0
google/gemini-1.5-pro-001,1,0.0144,0.0,0.1851,0.0,0.1707,0.0
google/gemini-1.5-pro-002,1,0.0561,0.0,0.2604,0.0,0.2043,0.0
google/gemma-2-27b-it,1,0.083,0.0,0.2747,0.0,0.1917,0.0
google/gemma-2-9b-it,1,0.0724,0.0,0.2552,0.0,0.1828,0.0
google/text-bison@001,1,0.0433,0.0,0.2541,0.0,0.2108,0.0
google/text-unicorn@001,1,0.0587,0.0,0.2853,0.0,0.2266,0.0
meta/llama-2-13b,1,0.0475,0.0,0.1993,0.0,0.1518,0.0
meta/llama-2-70b,1,0.0693,0.0,0.2467,0.0,0.1774,0.0
meta/llama-3-70b,1,0.0671,0.0,0.2662,0.0,0.1991,0.0
meta/llama-3.1-405b-instruct-turbo,1,0.0546,0.0,0.2636,0.0,0.209,0.0
meta/llama-3.1-70b-instruct-turbo,1,0.0838,0.0,0.2817,0.0,0.1979,0.0
meta/llama-3.1-8b-instruct-turbo,1,0.049,0.0,0.209,0.0,0.16,0.0
meta/llama-3.2-90b-vision-instruct-turbo,1,0.0756,0.0,0.2739,0.0,0.1983,0.0
meta/llama-3.3-70b-instruct-turbo,1,0.0508,0.0,0.2455,0.0,0.1947,0.0
microsoft/phi-2,1,0.0146,0.0,0.0516,0.0,0.037,0.0
