model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std,dataset
AlephAlpha/luminous-base,1,0.0389,0.0,0.2133,0.0,0.2522,0.0,MMLU-Classic
ai21/j1-grande-v2-beta,1,0.0497,0.0,0.48,0.0,0.4303,0.0,MMLU-Classic
ai21/j1-jumbo,1,0.0147,0.0,0.2933,0.0,0.2787,0.0,MMLU-Classic
ai21/j2-large,1,0.0533,0.0,0.28,0.0,0.3333,0.0,MMLU-Classic
anthropic/stanford-online-all-v4-s3,1,0.0015,0.0,0.48,0.0,0.4815,0.0,MMLU-Classic
cohere/command-xlarge-beta,1,0.0301,0.0,0.4533,0.0,0.4233,0.0,MMLU-Classic
cohere/xlarge-20221108,1,0.0382,0.0,0.3733,0.0,0.3351,0.0,MMLU-Classic
lmsys/vicuna-7b-v1.3,1,0.0291,0.0,0.44,0.0,0.4109,0.0,MMLU-Classic
microsoft/TNLGv2_530B,1,0.0542,0.0,0.4933,0.0,0.4392,0.0,MMLU-Classic
microsoft/TNLGv2_7B,1,0.0152,0.0,0.2533,0.0,0.2381,0.0,MMLU-Classic
mosaicml/mpt-30b,1,0.0301,0.0,0.4533,0.0,0.4233,0.0,MMLU-Classic
openai/text-babbage-001,1,0.0756,0.0,0.3067,0.0,0.231,0.0,MMLU-Classic
openai/text-davinci-003,1,0.0756,0.0,0.64,0.0,0.5644,0.0,MMLU-Classic
together/bloom,1,0.0833,0.0,0.3867,0.0,0.3034,0.0,MMLU-Classic
together/opt-175b,1,0.0212,0.0,0.3333,0.0,0.3122,0.0,MMLU-Classic
together/redpajama-incite-base-3b-v1,1,0.0147,0.0,0.2533,0.0,0.2681,0.0,MMLU-Classic
writer/palmyra-x,1,0.0502,0.0,0.6533,0.0,0.6032,0.0,MMLU-Classic
AlephAlpha/luminous-base,1,0.0107,0.0,0.4933,0.0,0.4827,0.0,CivilComments
ai21/j1-grande-v2-beta,1,0.0853,0.0,0.8267,0.0,0.7414,0.0,CivilComments
ai21/j1-jumbo,1,0.0112,0.0,0.3733,0.0,0.3846,0.0,CivilComments
ai21/j2-large,1,0.04,0.0,0.6,0.0,0.64,0.0,CivilComments
anthropic/stanford-online-all-v4-s3,1,0.0185,0.0,0.48,0.0,0.4985,0.0,CivilComments
cohere/command-xlarge-beta,1,0.005,0.0,0.5867,0.0,0.5916,0.0,CivilComments
cohere/xlarge-20221108,1,0.1381,0.0,0.8,0.0,0.6619,0.0,CivilComments
lmsys/vicuna-7b-v1.3,1,0.1125,0.0,0.36,0.0,0.4725,0.0,CivilComments
microsoft/TNLGv2_530B,1,0.0392,0.0,0.3867,0.0,0.4258,0.0,CivilComments
microsoft/TNLGv2_7B,1,0.1015,0.0,0.6667,0.0,0.5652,0.0,CivilComments
mosaicml/mpt-30b,1,0.1887,0.0,0.2133,0.0,0.402,0.0,CivilComments
openai/text-babbage-001,1,0.0565,0.0,0.8667,0.0,0.8101,0.0,CivilComments
openai/text-davinci-003,1,0.1084,0.0,0.5867,0.0,0.695,0.0,CivilComments
together/bloom,1,0.0804,0.0,0.6933,0.0,0.613,0.0,CivilComments
together/opt-175b,1,0.0501,0.0,0.16,0.0,0.2101,0.0,CivilComments
together/redpajama-incite-base-3b-v1,1,0.0123,0.0,0.6267,0.0,0.6144,0.0,CivilComments
writer/palmyra-x,1,0.0014,0.0,0.0,0.0,0.0014,0.0,CivilComments
anthropic/stanford-online-all-v4-s3,1,0.0,0.0,0.0,0.0,0.0,0.0,BLiMP
