model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std
open-llm-leaderboard/details_deepseek-ai__deepseek-moe-16b-base,1,0.0087,0.0,0.3695,0.0,0.3608,0.0
open-llm-leaderboard/details_CallComply__Starling-LM-11B-alpha,1,0.019,0.0,0.4343,0.0,0.4153,0.0
open-llm-leaderboard/details_AA051611__A0110,1,0.0098,0.0,0.5762,0.0,0.586,0.0
open-llm-leaderboard/details_cognitivecomputations__yayi2-30b-llama,1,0.0354,0.0,0.5262,0.0,0.4908,0.0
open-llm-leaderboard/details_Sao10K__Sensualize-Mixtral-bf16,1,0.0079,0.0,0.5339,0.0,0.5417,0.0
open-llm-leaderboard/details_Neuronovo__neuronovo-7B-v0.1,1,0.0009,0.0,0.5404,0.0,0.5395,0.0
open-llm-leaderboard/details_jae24__openhermes_dpo_norobot_0201,1,0.0268,0.0,0.5012,0.0,0.4744,0.0
open-llm-leaderboard/details_SuperAGI__SAM,1,0.0081,0.0,0.5345,0.0,0.5264,0.0
open-llm-leaderboard/details_jeonsworld__CarbonVillain-en-10.7B-v1,1,0.033,0.0,0.7527,0.0,0.7198,0.0
open-llm-leaderboard/details_fblgit__UNA-SOLAR-10.7B-Instruct-v1.0,1,0.0364,0.0,0.7616,0.0,0.7252,0.0
open-llm-leaderboard/details_mistralai__Mixtral-8x7B-v0.1,1,0.0222,0.0,0.4459,0.0,0.4681,0.0
open-llm-leaderboard/details_OpenBuddy__openbuddy-deepseek-67b-v15-base,1,0.0554,0.0,0.4677,0.0,0.5231,0.0
open-llm-leaderboard/details_kyujinpy__PlatYi-34B-200K-Q,1,0.0035,0.0,0.4385,0.0,0.4421,0.0
open-llm-leaderboard/details_adamo1139__Yi-34B-AEZAKMI-v1,1,0.0034,0.0,0.5539,0.0,0.5573,0.0
open-llm-leaderboard/details_SciPhi__SciPhi-Self-RAG-Mistral-7B-32k,1,0.0076,0.0,0.4639,0.0,0.4563,0.0
open-llm-leaderboard/details_PeanutJar__Mistral-v0.1-PeanutButter-v0.0.2-7B,1,0.0081,0.0,0.451,0.0,0.4592,0.0
open-llm-leaderboard/details_zarakiquemparte__kuchiki-l2-7b,1,0.0006,0.0,0.4993,0.0,0.4988,0.0
open-llm-leaderboard/details_Doctor-Shotgun__mythospice-limarp-70b,1,0.0216,0.0,0.537,0.0,0.5586,0.0
open-llm-leaderboard/details_The-Face-Of-Goonery__Huginn-13b-v1.2,1,0.0362,0.0,0.4836,0.0,0.5197,0.0
open-llm-leaderboard/details_HyperbeeAI__Tulpar-7b-v1,1,0.0165,0.0,0.5018,0.0,0.5183,0.0
open-llm-leaderboard/details_TFLai__Luban-Platypus2-13B-QLora-0.80-epoch,1,0.0057,0.0,0.5583,0.0,0.5526,0.0
open-llm-leaderboard/details_heegyu__RedTulu-Uncensored-3B-0719,1,0.0103,0.0,0.3656,0.0,0.3759,0.0
open-llm-leaderboard/details_Aeala__GPT4-x-Alpasta-13b,1,0.0311,0.0,0.4995,0.0,0.5306,0.0
open-llm-leaderboard/details_Gryphe__MythoMix-L2-13b,1,0.034,0.0,0.4868,0.0,0.5208,0.0
open-llm-leaderboard/details_openbmb__UltraLM-65b,1,0.0146,0.0,0.5205,0.0,0.5351,0.0
