model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std
01-ai/yi-34b,1,0.0,0.0,0.92,0.0,0.92,0.0
AlephAlpha/luminous-extended,1,0.072,0.0,0.2,0.0,0.272,0.0
ai21/jamba-instruct,1,0.024,0.0,0.82,0.0,0.796,0.0
amazon/nova-lite-v1:0,1,0.028,0.0,0.9,0.0,0.928,0.0
anthropic/claude-2.0,1,0.002,0.0,0.86,0.0,0.862,0.0
anthropic/claude-3-5-sonnet-20240620,1,0.032,0.0,0.94,0.0,0.972,0.0
anthropic/claude-3-sonnet-20240229,1,0.038,0.0,0.88,0.0,0.918,0.0
cohere/command-light,1,0.002,0.0,0.4,0.0,0.398,0.0
cohere/command-r-plus,1,0.028,0.0,0.8,0.0,0.828,0.0
google/gemini-1.5-pro-001,1,0.018,0.0,0.92,0.0,0.902,0.0
google/gemma-2-9b-it,1,0.05,0.0,0.86,0.0,0.91,0.0
google/gemma-7b,1,0.032,0.0,0.84,0.0,0.808,0.0
meta/llama-2-70b,1,0.018,0.0,0.82,0.0,0.838,0.0
meta/llama-3.1-70b-instruct-turbo,1,0.022,0.0,0.96,0.0,0.938,0.0
microsoft/phi-2,1,0.018,0.0,0.78,0.0,0.798,0.0
mistralai/mistral-medium-2312,1,0.01,0.0,0.82,0.0,0.83,0.0
mistralai/mixtral-8x22b,1,0.018,0.0,0.9,0.0,0.882,0.0
mistralai/open-mistral-nemo-2407,1,0.058,0.0,0.88,0.0,0.822,0.0
openai/gpt-3.5-turbo-0613,1,0.038,0.0,0.8,0.0,0.838,0.0
openai/gpt-4-turbo-2024-04-09,1,0.01,0.0,0.98,0.0,0.97,0.0
tiiuae/falcon-40b,1,0.082,0.0,0.58,0.0,0.662,0.0
writer/palmyra-x-004,1,0.034,0.0,0.96,0.0,0.926,0.0
