model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std,dataset
AlephAlpha/luminous-base,1,0.0391,0.0,0.7467,0.0,0.7075,0.0,EntityDataImputation
ai21/j1-grande-v2-beta,1,0.0445,0.0,0.8133,0.0,0.7689,0.0,EntityDataImputation
ai21/j1-jumbo,1,0.0477,0.0,0.76,0.0,0.7123,0.0,EntityDataImputation
ai21/j2-large,1,0.0297,0.0,0.7467,0.0,0.717,0.0,EntityDataImputation
anthropic/stanford-online-all-v4-s3,1,0.0359,0.0,0.76,0.0,0.7241,0.0,EntityDataImputation
cohere/command-xlarge-beta,1,0.0618,0.0,0.8,0.0,0.7382,0.0,EntityDataImputation
cohere/xlarge-20221108,1,0.0241,0.0,0.8,0.0,0.7759,0.0,EntityDataImputation
lmsys/vicuna-7b-v1.3,1,0.0172,0.0,0.72,0.0,0.7028,0.0,EntityDataImputation
microsoft/TNLGv2_530B,1,0.0475,0.0,0.84,0.0,0.7925,0.0,EntityDataImputation
microsoft/TNLGv2_7B,1,0.064,0.0,0.88,0.0,0.816,0.0,EntityDataImputation
mosaicml/mpt-30b,1,0.0153,0.0,0.8667,0.0,0.8514,0.0,EntityDataImputation
openai/text-babbage-001,1,0.0627,0.0,0.7467,0.0,0.684,0.0,EntityDataImputation
openai/text-davinci-003,1,0.0043,0.0,0.84,0.0,0.8443,0.0,EntityDataImputation
together/bloom,1,0.0964,0.0,0.7733,0.0,0.6769,0.0,EntityDataImputation
together/opt-175b,1,0.0454,0.0,0.76,0.0,0.7146,0.0,EntityDataImputation
together/redpajama-incite-base-3b-v1,1,0.0185,0.0,0.8133,0.0,0.7948,0.0,EntityDataImputation
writer/palmyra-x,1,0.0545,0.0,0.88,0.0,0.8255,0.0,EntityDataImputation
AlephAlpha/luminous-base,1,0.0402,0.0,0.2,0.0,0.2402,0.0,WikiFact
ai21/j1-grande-v2-beta,1,0.0084,0.0,0.2933,0.0,0.285,0.0,WikiFact
ai21/j1-jumbo,1,0.0025,0.0,0.2533,0.0,0.2558,0.0,WikiFact
ai21/j2-large,1,0.0409,0.0,0.1471,0.0,0.188,0.0,WikiFact
anthropic/stanford-online-all-v4-s3,1,0.0151,0.0,0.28,0.0,0.2951,0.0,WikiFact
cohere/command-xlarge-beta,1,0.0469,0.0,0.3733,0.0,0.3265,0.0,WikiFact
cohere/xlarge-20221108,1,0.0506,0.0,0.2533,0.0,0.3039,0.0,WikiFact
lmsys/vicuna-7b-v1.3,1,0.1011,0.0,0.0933,0.0,0.1944,0.0,WikiFact
microsoft/TNLGv2_530B,1,0.0035,0.0,0.3067,0.0,0.3031,0.0,WikiFact
microsoft/TNLGv2_7B,1,0.0305,0.0,0.1733,0.0,0.2039,0.0,WikiFact
mosaicml/mpt-30b,1,0.1031,0.0,0.24,0.0,0.3431,0.0,WikiFact
openai/text-babbage-001,1,0.0319,0.0,0.1467,0.0,0.1148,0.0,WikiFact
openai/text-davinci-003,1,0.0249,0.0,0.32,0.0,0.3449,0.0,WikiFact
together/bloom,1,0.0121,0.0,0.1733,0.0,0.1854,0.0,WikiFact
together/opt-175b,1,0.013,0.0,0.1733,0.0,0.1863,0.0,WikiFact
together/redpajama-incite-base-3b-v1,1,0.0066,0.0,0.16,0.0,0.1534,0.0,WikiFact
writer/palmyra-x,1,0.1074,0.0,0.2,0.0,0.3074,0.0,WikiFact
anthropic/stanford-online-all-v4-s3,1,0.0353,0.0,0.6267,0.0,0.5913,0.0,CommonSense
together/bloom,1,0.0253,0.0,0.3333,0.0,0.308,0.0,CommonSense
together/opt-175b,1,0.006,0.0,0.3333,0.0,0.3273,0.0,CommonSense
ai21/j1-grande-v2-beta,1,0.0333,0.0,0.6533,0.0,0.62,0.0,CommonSense
ai21/j1-jumbo,1,0.0207,0.0,0.6,0.0,0.6207,0.0,CommonSense
ai21/j2-large,1,0.0087,0.0,0.5867,0.0,0.578,0.0,CommonSense
cohere/command-xlarge-beta,1,0.054,0.0,0.6267,0.0,0.6807,0.0,CommonSense
cohere/xlarge-20221108,1,0.0867,0.0,0.5733,0.0,0.66,0.0,CommonSense
microsoft/TNLGv2_530B,1,0.0167,0.0,0.6533,0.0,0.67,0.0,CommonSense
microsoft/TNLGv2_7B,1,0.05,0.0,0.4933,0.0,0.5433,0.0,CommonSense
openai/text-babbage-001,1,0.0353,0.0,0.4267,0.0,0.462,0.0,CommonSense
openai/text-davinci-003,1,0.0453,0.0,0.6667,0.0,0.712,0.0,CommonSense
AlephAlpha/luminous-base,1,0.0337,0.0,0.5467,0.0,0.513,0.0,LegalSupport
