model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std
AlephAlpha/luminous-base,1,0.0245,0.0,0.1521,0.0,0.1766,0.0
ai21/j1-grande-v2-beta,1,0.0543,0.0,0.3291,0.0,0.2748,0.0
ai21/j1-jumbo,1,0.0935,0.0,0.3406,0.0,0.2471,0.0
ai21/j2-large,1,0.0503,0.0,0.2827,0.0,0.2324,0.0
anthropic/stanford-online-all-v4-s3,1,0.0273,0.0,0.2685,0.0,0.2411,0.0
cohere/command-xlarge-beta,1,0.0036,0.0,0.3228,0.0,0.3191,0.0
cohere/xlarge-20221108,1,0.1099,0.0,0.4335,0.0,0.3237,0.0
lmsys/vicuna-7b-v1.3,1,0.012,0.0,0.2318,0.0,0.2439,0.0
microsoft/TNLGv2_530B,1,0.0313,0.0,0.3476,0.0,0.3162,0.0
microsoft/TNLGv2_7B,1,0.0395,0.0,0.2019,0.0,0.1624,0.0
mosaicml/mpt-30b,1,0.0858,0.0,0.3816,0.0,0.2959,0.0
openai/text-babbage-001,1,0.0339,0.0,0.0285,0.0,0.0624,0.0
openai/text-davinci-003,1,0.0033,0.0,0.3716,0.0,0.3683,0.0
together/bloom,1,0.0675,0.0,0.2736,0.0,0.206,0.0
together/opt-175b,1,0.0179,0.0,0.2672,0.0,0.2493,0.0
together/redpajama-incite-base-3b-v1,1,0.0188,0.0,0.1791,0.0,0.1602,0.0
writer/palmyra-x,1,0.0014,0.0,0.3661,0.0,0.3675,0.0
