model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std
open-llm-leaderboard/details_abacusai__MetaMath-bagel-34b-v0.2-c1500,1,0.0236,0.0,0.86,0.0,0.8364,0.0
open-llm-leaderboard/details_meta-math__MetaMath-70B-V1.0,1,0.0605,0.0,0.9,0.0,0.8395,0.0
open-llm-leaderboard/details_FelixChao__vicuna-33b-coder,1,0.0127,0.0,0.62,0.0,0.6327,0.0
open-llm-leaderboard/details_deepseek-ai__deepseek-coder-1.3b-instruct,1,0.033,0.0,0.32,0.0,0.287,0.0
open-llm-leaderboard/details_Harshvir__Llama-2-7B-physics,1,0.063,0.0,0.6,0.0,0.537,0.0
open-llm-leaderboard/details_AdaptLLM__law-chat,1,0.0968,0.0,0.64,0.0,0.5432,0.0
open-llm-leaderboard/details_LoSboccacc__orthogonal-2x7B-base,1,0.027,0.0,0.74,0.0,0.713,0.0
open-llm-leaderboard/details_moreh__MoMo-70B-lora-1.8.6-DPO,1,0.0296,0.0,0.9,0.0,0.8704,0.0
open-llm-leaderboard/details_Swisslex__Mixtral-Orca-v0.1,1,0.0347,0.0,0.74,0.0,0.7747,0.0
open-llm-leaderboard/details_macadeliccc__polyglot-math-4x7b,1,0.0177,0.0,0.72,0.0,0.7377,0.0
open-llm-leaderboard/details_KnutJaegersberg__Qwen-14B-Llamafied,1,0.0022,0.0,0.72,0.0,0.7222,0.0
open-llm-leaderboard/details_flemmingmiguel__Distilled-HermesChat-7B,1,0.0331,0.0,0.72,0.0,0.7531,0.0
open-llm-leaderboard/details_FelixChao__WizardDolphin-7B,1,0.0363,0.0,0.74,0.0,0.7037,0.0
open-llm-leaderboard/details_chanwit__flux-7b-v0.1,1,0.0269,0.0,0.72,0.0,0.7469,0.0
open-llm-leaderboard/details_superlazycoder__NeuralPipe-7B-slerp,1,0.0469,0.0,0.7,0.0,0.7469,0.0
open-llm-leaderboard/details_Pierre-obi__Mistral_solar-slerp,1,0.028,0.0,0.42,0.0,0.392,0.0
open-llm-leaderboard/details_osanseviero__mistral-instruct-frankenmerge,1,0.0348,0.0,0.72,0.0,0.6852,0.0
open-llm-leaderboard/details_Sao10K__Sensualize-Mixtral-bf16,1,0.0143,0.0,0.86,0.0,0.8457,0.0
open-llm-leaderboard/details_chargoddard__mistral-11b-slimorca,1,0.0054,0.0,0.74,0.0,0.7346,0.0
open-llm-leaderboard/details_notbdq__alooowso,1,0.0163,0.0,0.72,0.0,0.7037,0.0
open-llm-leaderboard/details_UCLA-AGI__test,1,0.0564,0.0,0.72,0.0,0.6636,0.0
open-llm-leaderboard/details_OpenBuddy__openbuddy-mixtral-7bx8-v16.3-32k,1,0.0348,0.0,0.78,0.0,0.8148,0.0
open-llm-leaderboard/details_jae24__openhermes_dpo_norobot_0201,1,0.0146,0.0,0.72,0.0,0.7346,0.0
open-llm-leaderboard/details_shadowml__Marcoro14-7B-ties,1,0.0423,0.0,0.72,0.0,0.7623,0.0
open-llm-leaderboard/details_decapoda-research__Antares-11b-v1,1,0.0377,0.0,0.8,0.0,0.7623,0.0
open-llm-leaderboard/details_dfurman__Mistral-7B-Instruct-v0.2,1,0.0225,0.0,0.72,0.0,0.6975,0.0
open-llm-leaderboard/details_jeonsworld__CarbonVillain-en-10.7B-v3,1,0.036,0.0,0.82,0.0,0.784,0.0
open-llm-leaderboard/details_diffnamehard__Mistral-CatMacaroni-slerp-gradient,1,0.0532,0.0,0.76,0.0,0.7068,0.0
open-llm-leaderboard/details_kyujinpy__Sakura-SOLRCA-Instruct-DPO,1,0.0191,0.0,0.8,0.0,0.7809,0.0
open-llm-leaderboard/details_Weyaxi__openchat-3.5-1210-Seraph-Slerp,1,0.0377,0.0,0.7,0.0,0.7377,0.0
open-llm-leaderboard/details_jeonsworld__CarbonVillain-en-10.7B-v1,1,0.0191,0.0,0.8,0.0,0.7809,0.0
open-llm-leaderboard/details_kyujinpy__Sakura-SOLAR-Instruct-DPO-v2,1,0.004,0.0,0.78,0.0,0.784,0.0
open-llm-leaderboard/details_Azazelle__Half-NSFW_Noromaid-7b,1,0.0301,0.0,0.74,0.0,0.7099,0.0
open-llm-leaderboard/details_openthaigpt__openthaigpt-1.0.0-beta-13b-chat-hf,1,0.009,0.0,0.58,0.0,0.571,0.0
open-llm-leaderboard/details_brucethemoose__Yi-34B-200K-DARE-merge-v5,1,0.0073,0.0,0.86,0.0,0.8673,0.0
open-llm-leaderboard/details_crumb__apricot-wildflower-20,1,0.0038,0.0,0.74,0.0,0.7438,0.0
open-llm-leaderboard/details_VAGOsolutions__SauerkrautLM-Mixtral-8x7B-Instruct,1,0.0395,0.0,0.8,0.0,0.8395,0.0
open-llm-leaderboard/details_Sao10K__Frostwind-10.7B-v1,1,0.0177,0.0,0.72,0.0,0.7377,0.0
open-llm-leaderboard/details_luffycodes__vicuna-class-shishya-ac-hal-13b-ep3,1,0.0104,0.0,0.64,0.0,0.6296,0.0
open-llm-leaderboard/details_acrastt__kalomaze-stuff,1,0.0378,0.0,0.76,0.0,0.7222,0.0
open-llm-leaderboard/details_Mihaiii__Pallas-0.4,1,0.0119,0.0,0.84,0.0,0.8519,0.0
open-llm-leaderboard/details_upaya07__Birbal-7B-V1,1,0.0099,0.0,0.7,0.0,0.7099,0.0
open-llm-leaderboard/details_rishiraj__CatPPT-base,1,0.0438,0.0,0.7,0.0,0.7438,0.0
open-llm-leaderboard/details_janhq__supermario-slerp,1,0.05,0.0,0.7,0.0,0.75,0.0
open-llm-leaderboard/details_mistralai__Mixtral-8x7B-v0.1,1,0.0595,0.0,0.78,0.0,0.8395,0.0
open-llm-leaderboard/details_ehartford__dolphin-2.2-yi-34b-200k,1,0.0981,0.0,0.7,0.0,0.6019,0.0
open-llm-leaderboard/details_PulsarAI__OpenHermes-2.5-neural-chat-v3-3-Slerp,1,0.0269,0.0,0.72,0.0,0.7469,0.0
open-llm-leaderboard/details_Intel__neural-chat-7b-v3-3-Slerp,1,0.0794,0.0,0.78,0.0,0.7006,0.0
open-llm-leaderboard/details_kyujinpy__PlatYi-34B-200k-Q-FastChat,1,0.0265,0.0,0.9,0.0,0.8735,0.0
open-llm-leaderboard/details_itsliupeng__openllama-7b-base,1,0.0523,0.0,0.54,0.0,0.4877,0.0
open-llm-leaderboard/details_jondurbin__spicyboros-70b-2.2,1,0.0681,0.0,0.92,0.0,0.8519,0.0
open-llm-leaderboard/details_Locutusque__Orca-2-13B-no_robots,1,0.036,0.0,0.68,0.0,0.716,0.0
open-llm-leaderboard/details_Intel__neural-chat-7b-v3-3,1,0.0254,0.0,0.76,0.0,0.7346,0.0
open-llm-leaderboard/details_TokenBender__pic_7B_mistral_Full_v0.1,1,0.0025,0.0,0.7,0.0,0.6975,0.0
open-llm-leaderboard/details_kyujinpy__PlatYi-34B-Llama,1,0.0235,0.0,0.9,0.0,0.8765,0.0
open-llm-leaderboard/details_ajibawa-2023__Python-Code-33B,1,0.0049,0.0,0.6,0.0,0.6049,0.0
open-llm-leaderboard/details_openaccess-ai-collective__DPOpenHermes-7B,1,0.0038,0.0,0.74,0.0,0.7438,0.0
open-llm-leaderboard/details_migtissera__Tess-XS-v1-3-yarn-128K,1,0.0052,0.0,0.68,0.0,0.6852,0.0
open-llm-leaderboard/details_migtissera__Tess-M-v1.3,1,0.0235,0.0,0.9,0.0,0.8765,0.0
open-llm-leaderboard/details_perlthoughts__Chupacabra-7B-v2,1,0.0037,0.0,0.7,0.0,0.7037,0.0
open-llm-leaderboard/details_SciPhi__SciPhi-Self-RAG-Mistral-7B-32k,1,0.0672,0.0,0.74,0.0,0.6728,0.0
open-llm-leaderboard/details_Intel__neural-chat-7b-v3-1,1,0.0009,0.0,0.72,0.0,0.7191,0.0
open-llm-leaderboard/details_luffycodes__llama-shishya-7b-ep3-v1,1,0.1091,0.0,0.64,0.0,0.5309,0.0
open-llm-leaderboard/details_ajibawa-2023__Uncensored-Frank-33B,1,0.0995,0.0,0.76,0.0,0.6605,0.0
open-llm-leaderboard/details_chargoddard__storytime-13b,1,0.0081,0.0,0.64,0.0,0.6481,0.0
open-llm-leaderboard/details_YeungNLP__firefly-llama2-13b-pretrain,1,0.0537,0.0,0.6,0.0,0.5463,0.0
open-llm-leaderboard/details_migtissera__SynthIA-7B-v1.3,1,0.0209,0.0,0.74,0.0,0.7191,0.0
open-llm-leaderboard/details_AlekseyKorshuk__vic15-exp-syn-fight-cp3838,1,0.0232,0.0,0.52,0.0,0.5432,0.0
open-llm-leaderboard/details_LTC-AI-Labs__L2-7b-Synthia-WVG-Test,1,0.0401,0.0,0.5,0.0,0.5401,0.0
open-llm-leaderboard/details_Brouz__Slerpeno,1,0.058,0.0,0.7,0.0,0.642,0.0
open-llm-leaderboard/details_Charlie911__vicuna-7b-v1.5-lora-timedial,1,0.0368,0.0,0.58,0.0,0.5432,0.0
open-llm-leaderboard/details_togethercomputer__Llama-2-7B-32K-Instruct,1,0.023,0.0,0.56,0.0,0.537,0.0
open-llm-leaderboard/details_Doctor-Shotgun__mythospice-limarp-70b,1,0.0574,0.0,0.9,0.0,0.8426,0.0
open-llm-leaderboard/details_CHIH-HUNG__llama-2-13b-FINETUNE3_3.3w-r16-gate_up_down,1,0.0149,0.0,0.66,0.0,0.6451,0.0
open-llm-leaderboard/details_akjindal53244__Mistral-7B-v0.1-Open-Platypus,1,0.0038,0.0,0.76,0.0,0.7562,0.0
open-llm-leaderboard/details_CHIH-HUNG__llama-2-13b-FINETUNE1_17w-r4,1,0.0005,0.0,0.66,0.0,0.6605,0.0
