model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std
01-ai/yi-34b,1,0.0454,0.0,0.2011,0.0,0.1557,0.0
AlephAlpha/luminous-supreme,1,0.0157,0.0,0.1089,0.0,0.0932,0.0
ai21/j2-jumbo,1,0.0172,0.0,0.1204,0.0,0.1032,0.0
ai21/jamba-1.5-large,1,0.0841,0.0,0.2693,0.0,0.1853,0.0
amazon/nova-micro-v1:0,1,0.0553,0.0,0.2264,0.0,0.1712,0.0
amazon/nova-pro-v1:0,1,0.075,0.0,0.2775,0.0,0.2026,0.0
anthropic/claude-3-sonnet-20240229,1,0.0515,0.0,0.2465,0.0,0.195,0.0
cohere/command-r,1,0.0275,0.0,0.1584,0.0,0.1309,0.0
cohere/command,1,0.0376,0.0,0.1178,0.0,0.0802,0.0
google/gemini-1.5-pro-001,1,0.0506,0.0,0.2213,0.0,0.1707,0.0
google/gemini-2.0-flash-exp,1,0.0258,0.0,0.2166,0.0,0.1908,0.0
google/gemma-2-27b-it,1,0.0766,0.0,0.2683,0.0,0.1917,0.0
meta/llama-3-70b,1,0.069,0.0,0.2682,0.0,0.1991,0.0
meta/llama-3.1-405b-instruct-turbo,1,0.0804,0.0,0.2895,0.0,0.209,0.0
meta/llama-3.1-8b-instruct-turbo,1,0.0617,0.0,0.2217,0.0,0.16,0.0
mistralai/mistral-7b-instruct-v0.3,1,0.0586,0.0,0.1882,0.0,0.1295,0.0
mistralai/mixtral-8x7b-32kseqlen,1,0.07,0.0,0.2412,0.0,0.1711,0.0
mistralai/open-mistral-nemo-2407,1,0.0659,0.0,0.2267,0.0,0.1607,0.0
openai/gpt-3.5-turbo-0613,1,0.0777,0.0,0.2477,0.0,0.1699,0.0
openai/text-davinci-003,1,0.0608,0.0,0.2313,0.0,0.1705,0.0
qwen/qwen2.5-7b-instruct-turbo,1,0.0307,0.0,0.1722,0.0,0.1415,0.0
writer/palmyra-x-v2,1,0.0857,0.0,0.2976,0.0,0.2119,0.0
