model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std
01-ai/yi-34b,1,0.032,0.0,0.62,0.0,0.652,0.0
AlephAlpha/luminous-extended,1,0.01,0.0,0.25,0.0,0.26,0.0
ai21/jamba-instruct,1,0.033,0.0,0.57,0.0,0.537,0.0
amazon/nova-lite-v1:0,1,0.02,0.0,0.68,0.0,0.7,0.0
anthropic/claude-2.0,1,0.009,0.0,0.62,0.0,0.629,0.0
anthropic/claude-3-5-sonnet-20240620,1,0.021,0.0,0.81,0.0,0.831,0.0
anthropic/claude-3-sonnet-20240229,1,0.02,0.0,0.71,0.0,0.69,0.0
cohere/command-light,1,0.076,0.0,0.37,0.0,0.294,0.0
cohere/command-r-plus,1,0.059,0.0,0.62,0.0,0.561,0.0
google/gemini-1.5-pro-001,1,0.022,0.0,0.67,0.0,0.692,0.0
google/gemma-2-9b-it,1,0.005,0.0,0.6,0.0,0.605,0.0
google/gemma-7b,1,0.03,0.0,0.55,0.0,0.52,0.0
meta/llama-2-70b,1,0.028,0.0,0.61,0.0,0.582,0.0
meta/llama-3.1-70b-instruct-turbo,1,0.01,0.0,0.83,0.0,0.82,0.0
microsoft/phi-2,1,0.048,0.0,0.44,0.0,0.392,0.0
mistralai/mistral-medium-2312,1,0.023,0.0,0.58,0.0,0.603,0.0
mistralai/mixtral-8x22b,1,0.022,0.0,0.73,0.0,0.708,0.0
mistralai/open-mistral-nemo-2407,1,0.001,0.0,0.57,0.0,0.571,0.0
openai/gpt-3.5-turbo-0613,1,0.0,0.0,0.61,0.0,0.61,0.0
openai/gpt-4-turbo-2024-04-09,1,0.027,0.0,0.76,0.0,0.787,0.0
tiiuae/falcon-40b,1,0.008,0.0,0.42,0.0,0.412,0.0
writer/palmyra-x-004,1,0.018,0.0,0.76,0.0,0.778,0.0
